trial_ids,inferred_category,manual_category,general_category
5754,"beacon, picket fence, water tower",Buildings,Man-made
5782,"starfish, brain coral, chiton",Starfish,Animals aquatic
6013,"macaw, plastic bag, African grey",Bird-like,Animals flying
6034,"passenger car, electric locomotive, steam locomotive",Train,Man-made
6066,"chow, clumber, Great Pyrenees",Dog,Animals terrestrial
6082,"diaper, trench coat, knee pad",Bag,Man-made
6205,"pole, seashore, steel arch bridge",Unclear,Unclear
6238,"borzoi, Afghan hound, otterhound",Dog,Animals terrestrial
6248,"leatherback turtle, hermit crab, dung beetle",Unclear,Unclear
6490,"boathouse, dock, lakeside","Bridge, boat",Man-made
6562,"cowboy boot, drum, steel drum",Human,Human
6773,"basketball, volleyball, knee pad",Human,Human
6790,"balloon, mountain tent, parachute",Ballon,Man-made
6831,"weasel, platypus, black-footed ferret",Weasel,Animals terrestrial
6886,"ringlet, sulphur butterfly, lycaenid",Insects,Animals insects
7017,"garter snake, thunder snake, night snake",Snake,Animals terrestrial
7028,"puffer, buckeye, porcupine",Fish,Animals aquatic
7107,"bittern, ruddy turnstone, European gallinule",Bird-like,Animals flying
7119,"king crab, American lobster, spiny lobster",Food,Man-made
7120,"peacock, prairie chicken, cock",Bird-like,Animals flying
7154,"squirrel monkey, titi, patas",Monkey,Animals terrestrial
7495,"damselfly, dragonfly, grasshopper",Insects,Animals insects
